timestamp [s];actual_current [A];target_current [A];timestep [us];motor_torque [N.m];paddle_pos_filt [deg];hall_voltage [V];enable PID;Target_Angle [deg];Kp ;Ki ;Kd ;enable Encoder_Angle;rise_time [s];overshoot_angle [deg];led_0 [0.0-1.0];led_1 [0.0-1.0];led_2 [0.0-1.0];led_3 [0.0-1.0]
943.0113;0.0005028994638;0;350;0;9.978965759;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
943.01235;0.0005028994638;0;350;0;9.979652405;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
943.0134;0.0005028994638;0;350;0;9.988033295;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
943.0141;0.0005028994638;0;350;0;9.997281075;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
943.01515;0.0005028994638;0;350;0;9.996401787;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
943.0162;0.0005028994638;0;350;0;9.995984077;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
943.01725;0.0005028994638;0;350;0;9.981836319;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
943.0183;0.0005028994638;0;350;0;9.989068985;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
943.01935;0.0005028994638;0;350;0;10.00684166;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
943.0204;0.0005028994638;0;350;0;10.00094032;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
943.0211;0.0005028994638;0;350;0;9.99885273;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
943.02215;0.0005028994638;0;350;0;10.00343227;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
943.0232;0.0005028994638;0;350;0;9.991656303;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
943.02425;0.0005028994638;0;350;0;10.00668812;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
943.0253;0.0005028994638;0;350;0;10.00086784;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
943.02635;0.0005028994638;0;350;0;9.985537529;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
943.0274;0.0005028994638;0;350;0;9.990826607;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
943.0281;0.0005028994638;0;350;0;9.984642029;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
943.02915;0.0005028994638;0;350;0;9.984506607;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
943.0302;0.0005028994638;0;350;0;9.990338326;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
943.03125;0.0005028994638;0;350;0;9.985051155;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
943.0323;0.0005028994638;0;350;0;10.00178242;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
943.03335;0.0005028994638;0;350;0;9.998538017;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
943.0344;0.0005028994638;0;350;0;10.00190067;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
943.0351;0.0005028994638;0;350;0;9.980586052;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
943.03615;0.0005028994638;0;350;0;9.991629601;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
943.0372;0.0005028994638;0;350;0;10.01295853;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
943.03825;0.0005028994638;0;350;0;10.00384426;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
943.0393;0.0005028994638;0;350;0;10.0058012;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
943.04035;0.0005028994638;0;350;0;10.00850105;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
943.04105;0.0005028994638;0;350;0;9.990885735;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
943.0421;0.0005028994638;0;350;0;9.999650002;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
943.04315;0.0005028994638;0;350;0;10.00242805;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
943.0442;0.0005028994638;0;350;0;9.9988451;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
943.04525;0.0005028994638;0;350;0;10.00342751;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
943.0463;0.0005028994638;0;350;0;9.99932003;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
943.04735;0.0005028994638;0;350;0;9.982664108;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
943.04805;0.0005028994638;0;350;0;9.99401474;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
943.0491;0.0005028994638;0;350;0;9.993079185;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
943.05015;0.0005028994638;0;350;0;9.984603882;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
943.0512;0.0005028994638;0;350;0;9.998437881;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
943.05225;0.0005028994638;0;350;0;9.990666389;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
943.0533;0.0005028994638;0;350;0;9.993261337;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
943.05435;0.0005028994638;0;350;0;9.994493484;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
943.05505;0.0005028994638;0;350;0;9.994929314;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
943.0561;0.0005028994638;0;350;0;9.990383148;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
943.05715;0.0005028994638;0;350;0;9.999411583;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
943.0582;0.0005028994638;0;350;0;9.997413635;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
