timestamp [s];actual_current [A];target_current [A];timestep [us];motor_torque [N.m];encoder_paddle_pos [deg];hall_voltage [V];encoder_paddle_vel [deg/s];led_0 [0.0-1.0];led_1 [0.0-1.0];led_2 [0.0-1.0];led_3 [0.0-1.0]
992.5594;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
992.56045;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.5615;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
992.5622;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
992.56325;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
992.5643;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
992.56535;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
992.5664;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.56745;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.5685;-0.0004305528419;0;350;0;0.9119999409;2.517205238;0;0;0;0;0
992.5692;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.57025;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.5713;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
992.57235;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.5734;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
992.57445;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.57515;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
992.5762;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
992.57725;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.5783;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.57935;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
992.5804;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.58145;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
992.58215;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.5832;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.58425;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.5853;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
992.58635;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.5874;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
992.58845;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
992.58915;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.5902;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
992.59125;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.5923;-0.0004305528419;0;350;0;0.9119999409;2.517205238;0;0;0;0;0
992.59335;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.5944;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
992.59545;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.59615;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
